Title,GGS Rating,Collected Classes,num_rank
ASPECT-ORIENTED SOFTWARE DEVELOPMENT,C,"A+, A-",1
ASIA-PACIFIC BIOINFORMATICS CONFERENCE,C,"B, C",1
ASIA PACIFIC CONFERENCE ON COMMUNICATIONS,C,"C, C",1
ASIA PACIFIC CONFERENCE ON CIRCUITS AND SYSTEMS,C,C,1
ASIA-PACIFIC CONFERENCE ON CONCEPTUAL MODELLING,C,"C, NC",1
ASIA-PACIFIC COMPUTER AND HUMAN INTERACTION,C,C,1
APPLIED POWER ELECTRONICS CONFERENCE,A,A,5
APPLIED PERCEPTION IN GRAPHICS AND VISUALIZATION,C,C,1
INTERNATIONAL CONFERENCE ON APL,C,C,1
ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS,B-,"B, B, C",2
ASIA-PACIFIC MICROWAVE CONFERENCE,C,C,1
"INTERNATIONAL SYMPOSIUM ON ADVANCED PACKAGING MATERIALS. PROCESSES, PROPERTIES AND INTERFACES",C,C,1
ASIA-PACIFIC MAGNETIC RECORDING CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS,C,C,1
ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,C,"C, C",1
CONFERENCE OF THE ASSOCIATION OF ASIAN-PACIFIC OPERATIONAL RESEARCH SOCIETIES,C,C,1
IEEE PES ASIA-PACIFIC POWER AND ENERGY ENGINEERING CONFERENCE,C,C,1
INTERNATIONAL WORKSHOP ON APPROXIMATION ALGORITHMS FOR COMBINATORIAL OPTIMIZATION PROBLEMS,B,"A, B",3
"INTERNATIONAL WORKSHOP AND INTERNATIONAL WORKSHOP ON APPROXIMATION, RANDOMIZATION, AND COMBINATORIAL OPTIMIZATION. ALGORITHMS AND TECHNIQUES",C,C,1
ASIA-PACIFIC SERVICES COMPUTING CONFERENCE,C,"B, C, C",1
"INTERNATIONAL CONFERENCE ADVANCES POWER SYSTEM CONTROL, OPERATION AND MANAGEMENT",C,C,1
ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE,B,"B, B",3
ASIA-PACIFIC SIGNAL AND INFORMATION PROCESSING ASSOCIATION ANNUAL SUMMIT AND CONFERENCE,C,C,1
ASIA-PACIFIC WORKSHOP ON SYSTEMS,C,C,1
ASIA-PACIFIC WEB CONFERENCE,C,"B-, C",1
WEB AND BIG DATA,B,B,3
INTERNATIONAL SYMPOSIUM ON ADVANCED RESEARCH IN ASYNCHRONOUS CIRCUITS AND SYSTEMS,B-,B-,2
APPLIED RECONFIGURABLE COMPUTING,C,"B-, C",1
ARCHITECTURE OF COMPUTING SYSTEMS,C,"C, C",1
"AVAILABILITY, RELIABILITY AND SECURITY",B,"A-, B, B",3
ARFTG MICROWAVE MEASUREMENT CONFERENCE,C,C,1
IEEE SYMPOSIUM ON COMPUTER ARITHMETIC,C,"B, C",1
INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS,C,C,1
INTERNATIONAL CONFERENCE ON APPLIED ROBOTICS FOR POWER INDUSTRY,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS ROBOTS IN UNSTRUCTURED ENVIRONMENTS,C,C,1
ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS,C,C,1
ADVANCES IN RECENT TECHNOLOGIES IN COMMUNICATION AND COMPUTING,C,C,1
"APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES, AND PROCESSORS",B,"B, B",3
AUTOMATED SOFTWARE ENGINEERING,A,"A++, A, A",5
THE INTERNATIONAL POWER ELECTRONICS CONFERENCE - ECCE ASIA,C,C,1
"ASIA CONFERENCE ON INFORMATION, COMPUTER AND COMMUNICATIONS SECURITY",A,"A+, A",5
INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY,A+,"A+, A+, A",6
ASIAN COMPUTING SCIENCE CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON ASIC,C,C,1
"INTERNATIONAL CONFERENCE ON ANTI-COUNTERFEITING, SECURITY, AND IDENTIFICATION",C,C,1
ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,B,B,3
ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE,C,C,1
ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING,B,"B, B",3
NATIONAL CONFERENCE OF THE AUSTRALIAN SOCIETY FOR OPERATIONS RESEARCH,C,NC,1
ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE,B,"A, A-, C",3
"CONFERENCE ON ADVANCED SIGNAL PROCESSING : ALGORITHMS, ARCHITECTURES, AND IMPLEMENATIONS",C,C,1
ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS,A+,"A++, A+, A+",6
IEEE AUTOMATIC SPEECH RECOGNITION AND UNDERSTANDING WORKSHOP,B-,"A-, B, C",2
INTERNATIONAL ACM SIGACCESS CONFERENCE ON COMPUTERS AND ACCESSIBILITY,A-,"A, A-, B",4
AUTOMATION OF SOFTWARE TEST,C,"B-, C, C",1
ASIAN SEMANTIC WEB CONFERENCE,C,C,1
AUSTRALIAN SOFTWARE ENGINEERING CONFERENCE,C,"C, NC",1
SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS,B-,"B, B-",2
AUTONOMIC AND TRUSTED COMPUTING,C,"C, C",1
"ALGORITHMIC APPROACHES FOR TRANSPORTATION MODELING, OPTIMIZATION, AND SYSTEMS",C,"B-, C, C",1
AUSTRALASIAN TELECOMMUNICATION NETWORKS AND APPLICATIONS CONFERENCE,C,"C, NC",1
AMERICAN THORACIC SOCIETY INTERNATIONAL CONFERENCE,B,B,3
INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR SIGNAL & IMAGE PROCESSING,C,NC,1
AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS,B-,"B, B, C",2
AUSTRALASIAN USER INTERFACE CONFERENCE,C,C,1
AUSTRALASIAN UNIVERSITIES POWER ENGINEERING CONFERENCE,C,C,1
AUSTRALIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,C,C,1
AUSTRALASIAN DATA MINING CONFERENCE,C,"C, NC",1
CELLULAR AUTOMATA THEORY AND APPLICATINS,C,C,1
AUTOMOTIVE USER INTERFACES AND INTERACTIVE VEHICULAR APPLICATIONS,C,C,1
AUTOTESTCON,C,C,1
IEEE/OES AUTONOMOUS UNDERWATER VEHICLES,C,C,1
SYMPOSIUM ON AUTONOMOUS UNDERWATER VEHICLE TECHNOLOGY,C,C,1
ADVANCED VISUAL INTERFACES,B,"B, B, B",3
ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE,B,"B, B",3
ATLANTIC WEB INTELLIGENCE CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING AND COMMUNICATIONS,C,NC,1
"INTERNATIONAL CONFERENCE ON PROBABILISTIC, COMBINATORIAL, AND ASYMPTOTIC METHODS IN THE ANALYSIS OF ALGORITHMS (WAS CONFERENCE ON ANALYSIS OF ALGORITHMS)",B,B,3
"ARTSIT, INTERACTIVITY & GAME CREATION (WAS INTERNATIONAL CONFERENCE ON ARTS AND TECHNOLOGY)",C,C,1
AUSTRALASIAN SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING (WAS AUSGRID),C,NC,1
IEEE/IFIP INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY FOR BALANCED AUTOMATION SYSTEMS,C,C,1
ANNUAL BATTERY CONFERENCE ON APPLICATIONS AND ADVANCES,C,C,1
ACM INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,C,C,1
BRITISH COMPUTER SOCIETY CONFERENCE ON HUMAN-COMPUTER INTERACTION,C,"C, NC",1
BIPOLAR/BICMOS CIRCUITS AND TECHNOLOGY MEETING,B-,B-,2
"IEEE/ACM INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING, APPLICATIONS AND TECHNOLOGIES",C,C,1
BERKELEY WORKSHOP,C,C,1
BIOMEDICAL AND HEALTH INFORMATICS,C,C,1
BIOINFORMATICS AND BIOENGINEERING,C,"B-, C, C",1
BIOINFORMATICS AND BIOMEDICINE,C,"C, C",1
ANNUAL INTERNATIONAL CONFERENCE ON BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,C,"C, C",1
BRAIN-INSPIRED COGNITIVE SYSTEMS CONFERENCE,C,C,1
IEEE INTERNATIONAL CONFERENCE ON BIG DATA,B,"B, B",3
INTERNATIONAL CONFERENCE ON BIG DATA AND SMART COMPUTING,C,C,1
INTERNATIONAL CONGRESS ON BIG DATA,C,C,1
BIOMEDICAL CIRCUITS AND SYSTEMS CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON BIOMEDICAL ELECTRONICS AND DEVICES,C,C,1
INTERNATIONAL CONFERENCE ON BIOINFORMATICS,C,"B-, C",1
DATA MINING IN BIOINFORMATICS,C,C,1
BIOMEDICAL ENGINEERING,C,C,1
IEEE INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS,B-,B-,2
INTERNATIONAL CONFERENCE ON BIO-INSPIRED SYSTEMS AND SIGNAL PROCESSING,C,"C, C",1
INTERNATIONAL CONFERENCE ON PERSPECTIVES IN BUSINESS INFORMATICS RESEARCH,C,C,1
INTERNATIONAL WORKSHOP ON BUSINESS INTELLIGENCE FOR THE REAL TIME ENTERPRISE,C,C,1
BUSINESS INFORMATION SYSTEMS,C,"B, C",1
BLED ECONFERENCE,C,C,1
BIOMEDICAL ENGINEERING AND INFORMATICS,C,"C, C",1
INTERNATIONAL SYMPOSIUM ON BROADBAND MULTIMEDIA SYSTEMS AND BROADCASTING,C,C,1
BRITISH MACHINE VISION CONFERENCE,A,"A+, A",5
BRITISH NATIONAL CONFERENCE ON DATABASES,C,"C, C",1
INTERNATIONAL CONFERENCE ON BODY AREA NETWORKS,C,C,1
BRAZILIAN POWER ELECTRONICS CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE IN BUSINESS PROCESS MANAGEMENT,A,"A+, A, A",5
"BROADBAND COMMUNICATIONS, NETWORKS AND SYSTEMS",B-,"B, B-",2
BRAZILIAN SYMPOSIUM ON BIOINFORMATICS,C,C,1
BIENNIAL SYMPOSIUM ON COMMUNICATIONS,C,C,1
BODY SENSOR NETWORKS,C,"B, C",1
"IEEE INTERNATIONAL CONFERENCE ON BIOMETRICS: THEORY, APPLICATIONS AND SYSTEMS",A-,"A, A-",4
WORKSHOP ON BEYOND TIME AND ERRORS,C,C,1
"DATENBANKSYSTEME FÜR BUSINESS, TECHNOLOGIE UND WEB",C,NC,1
"BROADBAND AND WIRELESS COMPUTING, COMMUNICATION AND APPLICATIONS",C,C,1
HUMAN LANGUAGE TECHNOLOGIES - THE BALTIC PERSPECTIVE,C,C,1
CREATIVITY AND COGNITION,C,C,1
COMMUNITIES AND TECHNOLOGIES,C,C,1
HYPERCUBE CONCURRENT COMPUTERS AND APPLICATIONS,C,C,1
"CONFERENCE ON CREATING, CONNECTING AND COLLABORATING THROUGH COMPUTING",C,C,1
COMPUTER-AIDED ARCHITECTURAL DESIGN FUTURES,C,C,1
ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA) ANNUAL CONFERENCE,B,B,3
WORKSHOP ON COMBINATORIAL AND ALGORITHMIC ASPECTS OF NETWORKING,C,C,1
COLLOQUIUM ON TREES IN ALGEBRA AND PROGRAMMING,B,B,3
IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN,C,C,1
COMPUTER-AIDED DESIGN AND COMPUTER GRAPHICS,C,C,1
INTERNATIONAL JOINT CONFERENCE ON AUTOMATED REASONING,A-,"A, A-, A-",4
ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,B-,"B, B, C",2
INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING,A,"A, A, A-",5
CONFERENCE ON ALGEBRA AND COALGEBRA IN COMPUTER SCIENCE,C,"B, C",1
COMPUTER AIDED MODELING AND DESIGN OF COMMUNICATION LINKS AND NETWORKS,C,"C, C",1
IEEE INTERNATIONAL WORKSHOP ON COMPUTATIONAL ADVANCES IN MULTI-SENSOR ADAPTIVE PROCESSING,C,C,1
CRYPTOLOGY AND NETWORK SECURITY,C,"B, C",1
SMART CARD RESEARCH AND ADVANCED APPLICATION CONFERENCE,B-,"B, B-",2
COMPUTER ASSISTED RADIOLOGY AND SURGERY,B,B,3
COMPUTER ALGEBRA IN SCIENTIFIC COMPUTING,B,B,3
CONFERENCE OF THE CENTRE FOR ADVANCED STUDIES ON COLLABORATIVE RESEARCH,B,"B, B",3
WORKSHOP ON COMPUTER-AIDED SOFTWARE ENGINEERING,C,C,1
"INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS",B,"A-, B, B",3
COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS,C,"C, C",1
INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS,C,NC,1
COMPUTER AIDED VERIFICATION,A+,"A++, A+, A+",6
"COMPUTER ANIMATION, INFORMATION VISUALISATION, AND DIGITAL EFFECTS",C,C,1
IEEE CONFERENCE ON BUSINESS INFORMATICS,C,C,1
CONTENT-BASED MULTIMEDIA INDEXING,C,"C, C",1
COMPUTER-BASED MEDICAL SYSTEMS,B,"B, B",3
CHINESE CONFERENCE ON BIOMETRIC RECOGNITION,C,C,1
COMPONENT-BASED SOFTWARE ENGINEERING,C,"B, C",1
INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,B,"A-, B",3
IEEE INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS,B-,"B, B-",2
IEEE CONFERENCE ON COMPUTATIONAL COMPLEXITY,A,"A, A",5
CANADIAN CONFERENCE ON COMPUTATIONAL GEOMETRY,C,"C, C",1
CHINESE CONTROL AND DECISION CONFERENCE,C,C,1
CANADIAN CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING,B,B,3
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING IN EMERGING MARKETS,C,NC,1
CLUSTER COMPUTING AND THE GRID,A,"A, A, A-",5
IEEE CONSUMER COMMUNICATIONS AND NETWORKING CONFERENCE,B,"A-, B, B",3
ACM CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY,A++,"A++, A++, A++",7
CONFERENCE ON COMPUTATIONAL STRUCTURES TECHNOLOGY,C,C,1
CLOUD COMPUTING SECURITY WORKSHOP,B-,B-,2
IEEE COMPUTER COMMUNICATIONS WORKSHOP,B,B,3
IEEE ANNUAL COMPUTING AND COMMUNICATION WORKSHOP AND CONFERENCE,C,C,1
IFIP/ACM WORKING CONFERENCE ON COMPONENT DEPLOYMENT,B-,B-,2
INTERNATIONAL CROSS-DOMAIN CONFERENCE FOR MACHINE LEARNING AND KNOWLEDGE EXTRACTION,C,C,1
CONFERENCE ON DECISION AND CONTROL,A-,"A+, A-",4
COOPERATIVE DISTRIBUTED SYSTEMS,C,C,1
"COOPERATIVE DESIGN, VISUALIZATION AND ENGINEERING",C,"C, C",1
INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND APPLICATIONS,C,C,1
CONFERENCE ON EMAIL AND ANTI-SPAM,B,B,3
IEEE CONGRESS ON EVOLUTIONARY COMPUTATION,A-,"A, A, B",4
INTERNATIONAL CONFERENCE ON COMPUTER AND ELECTRICAL ENGINEERING,C,C,1
IEEE CONFERENCE ON ELECTROMAGNETIC FIELD COMPUTATION,B,B,3
CONFERENCE ON ELECTRICAL INSULATION AND DIELECTRIC PHENOMENA,C,C,1
INFORMATION SECURITY SYMPOSIUM,C,NC,1
INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND TECHNOLOGY,C,C,1
ACM INTERNATIONAL CONFERENCE ON COMPUTING FRONTIERS,B-,"B, B-",2
CONFERENCE ON THE FUTURE OF THE INTERNET,C,C,1
